,node_count,edge_count,diameter,average_path_length,transitivity,betweenness,closeness,pagerank,graph_type,id
0,10724,1282894,5,2.456550522711607,0.14379040960730985,658754.5629721268,0.632252358490566,0.0025067363576814655,ipfs,209
0,10855,1291624,5,2.46298468947506,0.14365601046755266,689730.5320031141,0.6315238261476698,0.002449195388911098,ipfs,210
0,10913,1305821,5,2.466932611200663,0.14306021790190598,677464.8238924392,0.6331302581955324,0.002499667570431958,ipfs,211
0,10978,1330792,6,2.465435165611397,0.14246801841921247,700388.4328429872,0.6348022206800833,0.0024759446408491132,ipfs,212
0,11091,1349918,6,2.467011841950507,0.14193071201011048,687613.1916112676,0.6368439186861147,0.0024782960713758085,ipfs,213
0,11210,1366044,5,2.4712538389208376,0.14103824778290597,721073.5400604705,0.6382530463500741,0.002467788623910618,ipfs,214
0,11275,1384993,6,2.470360458676639,0.14073817129083765,739282.9805634816,0.6383195561091609,0.002472775983321792,ipfs,215
0,11317,1382141,5,2.468281959043388,0.14008932093505436,741956.8882751234,0.6386004514672686,0.002465544643150094,ipfs,216
0,11392,1397808,5,2.4706430666342794,0.13975721308331324,753902.3352047813,0.6371518066897863,0.0024773889969851716,ipfs,217
0,11526,1415428,5,2.4758071313778602,0.13961086754839844,751879.7677171392,0.63491626267078,0.002435752115282612,ipfs,218
0,11609,1417850,5,2.479261443074432,0.1395472190999584,773511.0364083872,0.633347883020515,0.0024436249255985545,ipfs,219
0,11664,1429943,5,2.482308182933443,0.1387887355937848,786490.720518653,0.636001745010361,0.002440189915613598,ipfs,220
0,11703,1423786,5,2.4835111453684537,0.13851411143647155,801674.8634999151,0.6344954725370059,0.0024439106862268684,ipfs,221
0,11731,1444087,5,2.481588607156507,0.13817582279301563,788990.0702424028,0.6341226078494973,0.0024419306611309284,ipfs,222
0,11714,1446177,5,2.47654714801388,0.13700938964965756,798514.7568057462,0.6371301131418625,0.002455015612601606,ipfs,223
0,11790,1463534,5,2.4764388979764385,0.13696583849690352,786070.7497980424,0.6378638675468022,0.0024470646839339118,ipfs,224
0,11842,1473973,5,2.4758331217554423,0.13687728751310185,793294.0744666758,0.6381912256117279,0.0024649086129914233,ipfs,225
0,11897,1476219,5,2.4801415613440936,0.1364607954639455,835479.2848480658,0.638539989264627,0.0024574739758245027,ipfs,226
0,11972,1480821,5,2.479317372327794,0.1359326043343997,829717.2135432682,0.6392374646232712,0.0024664511010679944,ipfs,227
0,12066,1483248,6,2.4848103256483522,0.13586141295734203,827687.9653720141,0.6399512014003076,0.0024885435262610844,ipfs,228
0,12221,1499156,6,2.492083355377345,0.13567378999999155,846151.192722695,0.6384201452379709,0.0024920233532925353,ipfs,229
0,12411,1517587,5,2.49827360427781,0.1346169343106929,861026.5795624001,0.637587340731607,0.0024538748785082626,ipfs,230
0,12535,1543980,5,2.500570478297759,0.13421850381611516,896221.4181194751,0.6369873456319561,0.0024539986555648014,ipfs,231
0,12722,1591570,5,2.499905009059825,0.13289433682749704,913262.532530339,0.6409209995969367,0.0024633385586563953,ipfs,232
0,12959,1622097,5,2.5076311785510605,0.13144913189840252,967000.7990734361,0.6424392662369857,0.0024698739017757244,ipfs,233
0,13150,1672571,5,2.506899717164614,0.13023541804229266,994016.5156073502,0.6439590577403399,0.0024662895326921434,ipfs,234
0,13277,1692183,5,2.5090955871930998,0.12955351976077503,1030644.489064687,0.6442783655246045,0.0024736337219162037,ipfs,235
0,13360,1692320,6,2.5110390333719588,0.12945325476658429,1058609.4746692895,0.6449572732100614,0.0024833157516302965,ipfs,236
0,13551,1692727,5,2.5211095955653864,0.12856348955726107,1062494.3059543376,0.6430334092634776,0.002462658534377877,ipfs,237
0,13559,1664452,6,2.521982276260154,0.12893394687959353,1029138.2408414895,0.6406766846233816,0.0024542736302815196,ipfs,238
0,13586,1645509,5,2.529749025013448,0.12969684453946875,1028756.5294161796,0.6376138177039332,0.002450136344890368,ipfs,239
0,13614,1638525,6,2.536966312321939,0.13016863401051573,1029111.6682502516,0.6367165575304022,0.0024632288072452195,ipfs,240
0,13556,1643749,5,2.535789357800797,0.13063059827108217,1043731.8681024829,0.639085337105139,0.002497711753077607,ipfs,241
0,13329,1610189,5,2.5306754357646555,0.13068294722702964,1005539.7144735528,0.6368501529051988,0.0024801319121785558,ipfs,242
0,13095,1614100,5,2.5194019037985798,0.13137311405615792,989431.52631332,0.6405439780843362,0.0024928988927456763,ipfs,243
0,12858,1626902,5,2.5080478467368374,0.13204809756247596,1031646.6621478793,0.6464702333065165,0.0025155772577700884,ipfs,244
0,12673,1606632,5,2.5045594686918173,0.13276300174047467,1003766.0732777526,0.6454438954820965,0.0025190720078540818,ipfs,245
0,12471,1599864,5,2.4934017744761072,0.13332547719633395,939540.5559123603,0.6470191459554817,0.002532225118491113,ipfs,246
0,12300,1592890,5,2.4842405761337747,0.1335098846583547,910269.9626773752,0.6494692929186249,0.002550983499306226,ipfs,247
0,12183,1581967,6,2.479791225077717,0.13384549756049433,945909.8836026907,0.6502615565282375,0.002545044002300256,ipfs,248
0,12055,1576494,5,2.4710424015505033,0.1340576883034394,932954.1476618422,0.651673244309888,0.002540900510213516,ipfs,249
0,12036,1565113,5,2.473767668091235,0.1346153257815256,893569.4109339457,0.6492770824341821,0.002535079776487139,ipfs,250
0,11955,1552471,5,2.4723036034939314,0.13486309416328562,845926.6355240393,0.649321021184139,0.002546469563665929,ipfs,251
0,11867,1546623,5,2.46636141057733,0.13546081559553758,881816.5694033508,0.6510836762688614,0.0025421954380924826,ipfs,252
0,11842,1538712,5,2.4665075351667936,0.13551109364972833,856138.6075358291,0.6498189002304906,0.0025363949651939365,ipfs,253
0,11822,1531279,5,2.4668492810585225,0.1359578116764543,849775.2686703751,0.6484722146031049,0.002528337955329103,ipfs,254
